RegionName,State,StateCodeFIPS,MunicipalCodeFIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Essex County,MA,25,9,233043.8824,265311.7122,300038.7143,338333.1796,372789.9525,404723.2255,422691.2156,394224.3842,373439.192,341804.3449,340297.2756,341139.0015,323777.9604,341001.75,366989.4403,382787.4788,408797.4298,433114.6553,462045.6255,483523.8867,499254.9756,561171.4086,615234.8897,652423.425,705978.6906
Suffolk County,MA,25,25,196889.6625,224573.4761,262068.053,301016.47,337129.1274,370087.1443,389816.204,368092.0008,353005.7233,319638.5605,305361.8362,313855.3362,305266.09,338111.7802,382679.8263,412804.9641,463771.7924,500086.409,544137.7901,579973.14,595095.648,652739.4799,693951.9326,704269.2321,729767.7335
Oklahoma County,OK,40,109,85217.42,88620.72,92315.42,95967.35042,100817.7376,106443.9915,112602.2028,117921.8244,119055.2455,117167.1306,117854.1205,115580.3235,113617.8122,114813.0547,119091.2191,125137.4767,125671.5039,130453.2985,139063.3288,142875.9869,152006.9146,165358.2457,186137.32,208074.1355,215652.4096
Jefferson County,KY,21,111,105709.4187,110640.2683,119774.823,123301.6942,126129.1622,126808.604,134685.6038,137351.4315,137560.7366,134041.424,135575.7832,131730.3756,126285.1119,129379.395,136320.0902,140985.1909,147074.0791,155726.6705,159662.6469,175006.306,186588.1438,203616.0383,220668.7029,233530.0076,243681.4351
San Joaquin County,CA,6,77,161784.224,183367.9056,220838.0869,243640.0553,276196.0501,347148.5172,433206.0781,432313.3198,327565.2769,194487.1067,178566.4281,176107.2378,159066.7449,179207.0825,236811.28,266481.27,295038.3373,322834.6137,355315.3297,380467.6761,393946.1977,437730.9347,521887.0556,527205.7665,533202.0066
Cobb County,GA,13,67,159622.3575,170231.6917,179898.5999,185915.1691,191666.0079,198168.848,207083.98,214355.4171,211761.1629,201394.1787,187503.8884,170660.441,161111.0333,168218.1611,192012.5035,206917.6928,222210.2974,237895.8275,254411.0337,271723.5537,284137.7403,312267.2731,377715.3976,414466.1527,431801.0001
San Mateo County,CA,6,81,435912.80,534237.7503,553489.0754,599366.16,628435.8099,738436.88,830006.9627,835478.2825,818410.03,702290.0737,676845.0949,638215.63,607296.6838,714266.2144,848720.1703,965302.1571,1135591.428,1171142.086,1326164.953,1416003.01,1399565.612,1491190.088,1663931.026,1625209.473,1618701.868
Dekalb County,GA,13,89,139631.5353,152880.5214,163523.5397,168099.1735,170671.9686,174360.4394,182091.5159,184086.2673,179578.6243,154214.1604,134006.0695,121820.3524,106458.1815,115120.5042,140279.1959,156278.8768,173261.7636,190045.6704,212082.9161,232930.4579,240786.9883,266625.9049,317492.3392,347197.2533,352730.0293
Monroe County,NY,36,55,101061.9148,103819.4637,107282.8407,110972.3931,116699.8042,121293.8792,124587.9454,127719.1468,129291.5521,129081.26,130154.786,128553.8207,126587.9507,126554.4873,129662.5645,131525.61,136270.96,149103.4315,147585.7335,152955.468,162011.484,181960.9125,199347.7676,222069.1039,244286.1142
Lee County,FL,12,71,122763.6025,131084.0715,143343.5979,160597.3162,180174.7977,212743.2481,290223.1163,303773.2334,236923.7753,167433.6396,133956.67,126887.7528,127523.8755,144910.0908,168436.4699,185649.03,211090.1536,227630.2469,236510.3692,243267.4793,247523.4342,270416.5405,356399.6922,410380.4696,411097.0638
El Paso County,CO,8,41,163900.0732,173555.3851,189071.4662,194647.1456,200609.9997,208111.0535,221007.2154,227138.6175,227864.7482,213303.3978,214892.2844,207755.4726,201682.1163,210757.836,220212.0799,229338.6304,245561.2696,266496.9113,290543.1483,315714.4512,336984.9,374518.0957,447871.5108,457816.1637,456837.9632
Norfolk County,MA,25,21,245000.0773,285612.9304,325129.6972,364230.0012,399076.7302,435025.8362,446357.8845,423794.0324,410990.6933,384060.2483,376970.8529,374993.38,359048.23,375372.31,407613.1941,426404.1673,453608.4025,480258.6967,507683.1895,527511.1316,539326.6283,595390.5992,644939.5477,680889.5678,735309.9348
